Input,Output
"May I come in, Doctor?",Patient
Take your seat.,Doctor
"Thank you, doctor.",Patient
No.,Doctor
"Yes, doctor.",Patient
"Um, please lie on that bed.",Doctor
I have to check.,Doctor
"Okay, doctor.",Patient
"Yes, doctor, it hurts a lot.",Patient
"Is it something serious, doctor?",Patient
"I can't say now, I'm writing down some tests.",Doctor
Try to do this by today.,Doctor
I can't even work properly because of the pain.,Doctor
"Hmm, I understand.",Doctor
I'm giving you an injection for temporary relief.,Doctor
Don't you have any medicine?,Doctor
Are you scared of injections?,Doctor
It's not like that.,Doctor
"I mean, it would be better if you could give me some medicine.",Doctor
You won't even feel it.,Doctor
Look at that side.,Doctor
"Please, doctor, be careful.",Patient
It's already done.,Doctor
Thank you so much.,Doctor
I did not feel anything at all.,Doctor
Don't be so scared beforehand.,Doctor
Let's see the repose first.,Doctor
Won't you give me any medicines doctor?,Patient
"Hmm, I'm prescribing this medicine.",Doctor
It's just for today.,Doctor
Take it after your dinner.,Doctor
"Okay, doctor.",Patient
Please submit that in the cash counter.,Doctor
"Thank you, Doctor.",Patient
"May I come in, doctor?",Patient
Here are the reports of the test that you gave.,Doctor
"Oh yeah, let me check them.",Doctor
It was just food poisoning.,Doctor
"I'm writing down a medicines, please take them for one week after dinner.",Patient
"Oh, okay doctor.",Patient
"Sure, doctor, thank you.",Patient
And how old are you?,Doctor
I'm 29.,Patient
